날짜,농축수산물
2005-01-01,62.157
2005-02-01,64.05
2005-03-01,64.302
2005-04-01,64.681
2005-05-01,63.482
2005-06-01,61.526
2005-07-01,62.788
2005-08-01,63.293
2005-09-01,65.249
2005-10-01,63.799
2005-11-01,60.138
2005-12-01,61.716
2006-01-01,63.672
2006-02-01,63.293
2006-03-01,63.293
2006-04-01,62.915
2006-05-01,61.968
2006-06-01,60.896
2006-07-01,61.337
2006-08-01,65.312
2006-09-01,66.069
2006-10-01,63.861
2006-11-01,61.085
2006-12-01,62.598
2007-01-01,63.167
2007-02-01,65.439
2007-03-01,64.302
2007-04-01,63.987
2007-05-01,63.104
2007-06-01,62.347
2007-07-01,63.482
2007-08-01,63.609
2007-09-01,66.511
2007-10-01,66.701
2007-11-01,63.861
2007-12-01,64.239
2008-01-01,64.366
2008-02-01,65.059
2008-03-01,63.482
2008-04-01,63.861
2008-05-01,63.861
2008-06-01,63.167
2008-07-01,64.366
2008-08-01,65.818
2008-09-01,65.88
2008-10-01,64.492
2008-11-01,64.366
2008-12-01,65.818
2009-01-01,68.152
2009-02-01,68.594
2009-03-01,69.919
2009-04-01,71.622
2009-05-01,70.739
2009-06-01,67.331
2009-07-01,68.026
2009-08-01,69.035
2009-09-01,68.782
2009-10-01,68.026
2009-11-01,66.196
2009-12-01,68.026
2010-01-01,70.453
2010-02-01,72.192
2010-03-01,72.947
2010-04-01,74.912
2010-05-01,74.081
2010-06-01,72.192
2010-07-01,72.872
2010-08-01,75.971
2010-09-01,82.774
2010-10-01,82.698
2010-11-01,78.087
2010-12-01,78.087
2011-01-01,81.943
2011-02-01,84.513
2011-03-01,83.606
2011-04-01,82.018
2011-05-01,79.448
2011-06-01,79.902
2011-07-01,81.943
2011-08-01,86.101
2011-09-01,85.571
2011-10-01,81.943
2011-11-01,80.733
2011-12-01,82.623
2012-01-01,85.057
2012-02-01,84.634
2012-03-01,86.025
2012-04-01,85.299
2012-05-01,85.042
2012-06-01,84.006
2012-07-01,82.865
2012-08-01,84.513
2012-09-01,89.608
2012-10-01,87.038
2012-11-01,83.273
2012-12-01,84.278
2013-01-01,87.257
2013-02-01,88.066
2013-03-01,85.897
2013-04-01,86.055
2013-05-01,84.377
2013-06-01,82.502
2013-07-01,83.591
2013-08-01,87.166
2013-09-01,86.562
2013-10-01,82.532
2013-11-01,80.287
2013-12-01,80.748
2014-01-01,82.358
2014-02-01,83.296
2014-03-01,83.205
2014-04-01,83.054
2014-05-01,82.729
2014-06-01,81.671
2014-07-01,81.754
2014-08-01,82.994
2014-09-01,83.953
2014-10-01,80.982
2014-11-01,80.219
2014-12-01,81.573
2015-01-01,83.728
2015-02-01,84.803
2015-03-01,83.141
2015-04-01,83.208
2015-05-01,84.988
2015-06-01,84.61
2015-07-01,84.182
2015-08-01,85.206
2015-09-01,85.046
2015-10-01,83.376
2015-11-01,81.294
2015-12-01,83.779
2016-01-01,85.004
2016-02-01,89.017
2016-03-01,87.002
2016-04-01,86.818
2016-05-01,85.5
2016-06-01,83.384
2016-07-01,83.888
2016-08-01,85.6
2016-09-01,92.811
2016-10-01,89.764
2016-11-01,87.833
2016-12-01,89.412
2017-01-01,93.827
2017-02-01,94.121
2017-03-01,92.719
2017-04-01,90.99
2017-05-01,90.99
2017-06-01,89.378
2017-07-01,89.731
2017-08-01,94.776
2017-09-01,96.589
2017-10-01,92.341
2017-11-01,87.968
2017-12-01,90.058
2018-01-01,92.106
2018-02-01,96.765
2018-03-01,93.794
2018-04-01,94.18
2018-05-01,92.509
2018-06-01,90.217
2018-07-01,90.771
2018-08-01,99.166
2018-09-01,104.874
2018-10-01,100.207
2018-11-01,94.641
2018-12-01,94.7
2019-01-01,94.406
2019-02-01,95.397
2019-03-01,93.525
2019-04-01,94.801
2019-05-01,93.634
2019-06-01,91.804
2019-07-01,90.511
2019-08-01,91.955
2019-09-01,96.32
2019-10-01,96.421
2019-11-01,92.064
2019-12-01,93.953
2020-01-01,95.63
2020-02-01,94.73
2020-03-01,96.57
2020-04-01,95.78
2020-05-01,96.98
2020-06-01,97.4
2020-07-01,98.45
2020-08-01,103.3
2020-09-01,108.68
2020-10-01,108.45
2020-11-01,101.74
2020-12-01,102.3
2021-01-01,105.7
2021-02-01,109.97
2021-03-01,109.41
2021-04-01,108.4
2021-05-01,107.94
2021-06-01,106.63
2021-07-01,106.81
2021-08-01,109.06
2021-09-01,112.01
2021-10-01,109.01
2021-11-01,109.47
2021-12-01,110.3
2022-01-01,112.71
2022-02-01,111.98
2022-03-01,110.2
2022-04-01,110.62
2022-05-01,112.24
2022-06-01,111.59
2022-07-01,114.19
2022-08-01,116.5
2022-09-01,118.59
2022-10-01,114.59
2022-11-01,109.85
2022-12-01,110.75
2023-01-01,113.65
2023-02-01,113.04
2023-03-01,113.3
2023-04-01,111.75
2023-05-01,112.19
2023-06-01,112.25
2023-07-01,114.3
2023-08-01,120.23
2023-09-01,123.76
2023-10-01,123.77
2023-11-01,117.79
2023-12-01,119.27
2024-01-01,122.71
2024-02-01,125.98
2024-03-01,126.54
2024-04-01,123.54
2024-05-01,121.9
2024-06-01,119.5
2024-07-01,120.59
2024-08-01,123.15
2024-09-01,126.65
2024-10-01,125.27
2024-11-01,119
2024-12-01,122.32
2025-01-01,125.01
2025-02-01,127.19
